,scenario_name,scenario_variant,variable,use_technology_fuel,model,time_resolution,timestamp,value
3088,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 00:00,3.8181660401267466e-07
3089,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 01:00,3.7459990038697673e-07
3090,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 02:00,3.205602377563086e-07
3091,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 03:00,2.914209149798547e-07
3092,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 04:00,2.975121959215352e-07
3093,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 05:00,2.1860693048616766e-06
3094,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 06:00,1.1151409280366676e-06
3095,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 07:00,9.327014351668744e-07
3096,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 08:00,1.438505700076901e-06
3097,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 09:00,0.1999153528766682
3098,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 10:00,0.8302349764079009
3099,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 11:00,1.002131527473697
3100,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 12:00,0.4828175461148164
3101,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 13:00,2.739105906791434
3102,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 14:00,1.9972702526016832
3103,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 15:00,1.28537416254726e-06
