,scenario_name,scenario_variant,model,time_resolution,timestamp,variable,use_technology_fuel,value
110,abroad-nores-lim,reference,stem,annual,2030,electricity_consumption,net_exports,9.097939969999999
111,abroad-nores-lim,reference,stem,annual,2035,electricity_consumption,net_exports,1.2697496399999988
112,abroad-nores-lim,reference,stem,annual,2040,electricity_consumption,net_exports,0.0
113,abroad-nores-lim,reference,stem,annual,2050,electricity_consumption,net_exports,0.0
114,abroad-nores-lim,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
115,abroad-nores-lim,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.547507530000004
116,abroad-nores-lim,reference,zengarden,annual,2035,electricity_consumption,net_exports,18.87034646
117,abroad-nores-lim,reference,zengarden,annual,2040,electricity_consumption,net_exports,15.131380550000003
118,abroad-nores-lim,reference,zengarden,annual,2045,electricity_consumption,net_exports,7.589696620000005
119,abroad-nores-lim,reference,zengarden,annual,2050,electricity_consumption,net_exports,2.993953210000001
120,abroad-res-full,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
121,abroad-res-full,reference,seseth,annual,2050,electricity_consumption,net_exports,0.37334200000000095
122,abroad-res-full,reference,stem,annual,2030,electricity_consumption,net_exports,14.516176398999999
123,abroad-res-full,reference,stem,annual,2035,electricity_consumption,net_exports,14.165658740000001
124,abroad-res-full,reference,stem,annual,2040,electricity_consumption,net_exports,7.397836500000002
125,abroad-res-full,reference,stem,annual,2050,electricity_consumption,net_exports,0.0
126,abroad-res-full,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
127,abroad-res-full,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.59576672
128,abroad-res-full,reference,zengarden,annual,2035,electricity_consumption,net_exports,17.303645860000003
129,abroad-res-full,reference,zengarden,annual,2040,electricity_consumption,net_exports,13.71567701
130,abroad-res-full,reference,zengarden,annual,2045,electricity_consumption,net_exports,3.540620169999997
131,abroad-res-full,reference,zengarden,annual,2050,electricity_consumption,net_exports,1.017033320000003
132,abroad-res-lim,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
133,abroad-res-lim,reference,seseth,annual,2050,electricity_consumption,net_exports,0.8964269999999992
134,abroad-res-lim,reference,stem,annual,2030,electricity_consumption,net_exports,17.423244949
135,abroad-res-lim,reference,stem,annual,2035,electricity_consumption,net_exports,16.930028485
136,abroad-res-lim,reference,stem,annual,2040,electricity_consumption,net_exports,10.087925092999999
137,abroad-res-lim,reference,stem,annual,2050,electricity_consumption,net_exports,3.552496719999999
138,abroad-res-lim,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
139,abroad-res-lim,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.547507530000004
140,abroad-res-lim,reference,zengarden,annual,2035,electricity_consumption,net_exports,18.87034646
141,abroad-res-lim,reference,zengarden,annual,2040,electricity_consumption,net_exports,15.131380550000003
142,abroad-res-lim,reference,zengarden,annual,2045,electricity_consumption,net_exports,7.589696620000005
143,abroad-res-lim,reference,zengarden,annual,2050,electricity_consumption,net_exports,2.993953210000001
144,domestic-nores-full,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
145,domestic-nores-full,reference,seseth,annual,2050,electricity_consumption,net_exports,0.0
146,domestic-nores-full,reference,stem,annual,2030,electricity_consumption,net_exports,5.984265550000002
147,domestic-nores-full,reference,stem,annual,2035,electricity_consumption,net_exports,1.3489837400000013
148,domestic-nores-full,reference,stem,annual,2040,electricity_consumption,net_exports,0.0
149,domestic-nores-full,reference,stem,annual,2050,electricity_consumption,net_exports,0.0
150,domestic-nores-full,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
151,domestic-nores-full,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.534953959999996
152,domestic-nores-full,reference,zengarden,annual,2035,electricity_consumption,net_exports,17.32768353
153,domestic-nores-full,reference,zengarden,annual,2040,electricity_consumption,net_exports,13.640927229999996
154,domestic-nores-full,reference,zengarden,annual,2045,electricity_consumption,net_exports,3.453049970000002
155,domestic-nores-full,reference,zengarden,annual,2050,electricity_consumption,net_exports,0.0
156,domestic-nores-lim,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
157,domestic-nores-lim,reference,seseth,annual,2050,electricity_consumption,net_exports,0.0
158,domestic-nores-lim,reference,stem,annual,2030,electricity_consumption,net_exports,8.964919228
159,domestic-nores-lim,reference,stem,annual,2035,electricity_consumption,net_exports,0.645023130000002
160,domestic-nores-lim,reference,stem,annual,2040,electricity_consumption,net_exports,0.0
161,domestic-nores-lim,reference,stem,annual,2050,electricity_consumption,net_exports,0.0
162,domestic-nores-lim,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
163,domestic-nores-lim,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.503282079999998
164,domestic-nores-lim,reference,zengarden,annual,2035,electricity_consumption,net_exports,18.874297079999998
165,domestic-nores-lim,reference,zengarden,annual,2040,electricity_consumption,net_exports,15.097732050000005
166,domestic-nores-lim,reference,zengarden,annual,2045,electricity_consumption,net_exports,7.630007970000001
167,domestic-nores-lim,reference,zengarden,annual,2050,electricity_consumption,net_exports,0.0
168,domestic-res-full,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
169,domestic-res-full,reference,seseth,annual,2050,electricity_consumption,net_exports,0.0
170,domestic-res-full,reference,stem,annual,2030,electricity_consumption,net_exports,13.824799420000002
171,domestic-res-full,reference,stem,annual,2035,electricity_consumption,net_exports,13.364459010000001
172,domestic-res-full,reference,stem,annual,2040,electricity_consumption,net_exports,6.7266755400000005
173,domestic-res-full,reference,stem,annual,2050,electricity_consumption,net_exports,0.0
174,domestic-res-full,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
175,domestic-res-full,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.534953959999996
176,domestic-res-full,reference,zengarden,annual,2035,electricity_consumption,net_exports,17.32768353
177,domestic-res-full,reference,zengarden,annual,2040,electricity_consumption,net_exports,13.640927229999996
178,domestic-res-full,reference,zengarden,annual,2045,electricity_consumption,net_exports,3.453049970000002
179,domestic-res-full,reference,zengarden,annual,2050,electricity_consumption,net_exports,0.0
180,domestic-res-lim,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
181,domestic-res-lim,reference,seseth,annual,2050,electricity_consumption,net_exports,0.0
182,domestic-res-lim,reference,stem,annual,2030,electricity_consumption,net_exports,17.969498647
183,domestic-res-lim,reference,stem,annual,2035,electricity_consumption,net_exports,16.443819048
184,domestic-res-lim,reference,stem,annual,2040,electricity_consumption,net_exports,10.502100153
185,domestic-res-lim,reference,stem,annual,2050,electricity_consumption,net_exports,2.3745575300000006
186,domestic-res-lim,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
187,domestic-res-lim,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.503282079999998
188,domestic-res-lim,reference,zengarden,annual,2035,electricity_consumption,net_exports,18.874297079999998
189,domestic-res-lim,reference,zengarden,annual,2040,electricity_consumption,net_exports,15.097732050000005
190,domestic-res-lim,reference,zengarden,annual,2045,electricity_consumption,net_exports,7.630007970000001
191,domestic-res-lim,reference,zengarden,annual,2050,electricity_consumption,net_exports,0.0
192,abroad-nores-full,reference,secmod,typical-day,2050-02-01 00:00:00,electricity_supply_typical_day,net_imports,9.670710247
193,abroad-nores-full,reference,secmod,typical-day,2050-02-01 01:00:00,electricity_supply_typical_day,net_imports,9.966866221
194,abroad-nores-full,reference,secmod,typical-day,2050-02-01 02:00:00,electricity_supply_typical_day,net_imports,10.88464651
195,abroad-nores-full,reference,secmod,typical-day,2050-02-01 03:00:00,electricity_supply_typical_day,net_imports,4.45955867
196,abroad-nores-full,reference,secmod,typical-day,2050-02-01 04:00:00,electricity_supply_typical_day,net_imports,4.46049436
197,abroad-nores-full,reference,secmod,typical-day,2050-02-01 05:00:00,electricity_supply_typical_day,net_imports,4.45955867
198,abroad-nores-full,reference,secmod,typical-day,2050-02-01 06:00:00,electricity_supply_typical_day,net_imports,4.45955867
199,abroad-nores-full,reference,secmod,typical-day,2050-02-01 07:00:00,electricity_supply_typical_day,net_imports,11.233362589
200,abroad-nores-full,reference,secmod,typical-day,2050-02-01 08:00:00,electricity_supply_typical_day,net_imports,11.043376696
201,abroad-nores-full,reference,secmod,typical-day,2050-02-01 09:00:00,electricity_supply_typical_day,net_imports,9.853989720000001
202,abroad-nores-full,reference,secmod,typical-day,2050-02-01 10:00:00,electricity_supply_typical_day,net_imports,9.858032805
203,abroad-nores-full,reference,secmod,typical-day,2050-02-01 11:00:00,electricity_supply_typical_day,net_imports,10.95168729
204,abroad-nores-full,reference,secmod,typical-day,2050-02-01 12:00:00,electricity_supply_typical_day,net_imports,9.912539371
205,abroad-nores-full,reference,secmod,typical-day,2050-02-01 13:00:00,electricity_supply_typical_day,net_imports,9.975207187999999
206,abroad-nores-full,reference,secmod,typical-day,2050-02-01 14:00:00,electricity_supply_typical_day,net_imports,12.080388891
207,abroad-nores-full,reference,secmod,typical-day,2050-02-01 15:00:00,electricity_supply_typical_day,net_imports,7.325645881000001
208,abroad-nores-full,reference,secmod,typical-day,2050-02-01 16:00:00,electricity_supply_typical_day,net_imports,4.46049436
209,abroad-nores-full,reference,secmod,typical-day,2050-02-01 17:00:00,electricity_supply_typical_day,net_imports,4.46049436
210,abroad-nores-full,reference,secmod,typical-day,2050-02-01 18:00:00,electricity_supply_typical_day,net_imports,4.46049436
211,abroad-nores-full,reference,secmod,typical-day,2050-02-01 19:00:00,electricity_supply_typical_day,net_imports,4.46049436
212,abroad-nores-full,reference,secmod,typical-day,2050-02-01 20:00:00,electricity_supply_typical_day,net_imports,5.459762166000001
213,abroad-nores-full,reference,secmod,typical-day,2050-02-01 21:00:00,electricity_supply_typical_day,net_imports,6.349240860000001
