scenario_name,model,variable,use_technology_fuel,time_resolution,timestamp,value
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2035,1.902354045938576
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2040,16.696503906314945
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2040,2.1174939259535666e-08
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2045,12.741865555409928
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2045,1.7764959654619822e-08
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2050,9.986623584912936
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2050,9.593659997921537e-08
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.6671017451906623
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.00367404187601
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2030,2.9511557080526787
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2030,0.0036740429363234
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2035,6.611320461654221
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611722219849
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2040,7.702595145547041
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2040,1.1088008310200466
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2045,12.686687977262483
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108221227288269
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2050,15.267771608605202
abroad-res-full,zengarden,passenger_road_private_fec,electricity,annual,2050,1.1108220466942291
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2025,35.87773008125988
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2025,3.150059326552368
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2030,27.828923263654605
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2030,3.150057957919105
