scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
abroad-together,2050,Biofuel-processes|New processes,0.008557036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Electricity-supply|Biogas,0.106103454,0.101198503,0.101181583,0.101205471,0.101231758,0.101384292,0.101416993,0.101423624,0.10143244,0.101174275,0.10117624,0.101176902,0.101177181,0.101177244,0.101176951,0.101176259,0.101477706,0.101801573,0.101832149,0.101839463,0.101838644,0.101469073,0.101324534,0.10117337,0.101175752,0.001391296,0.001391097,0.001390005,0.001388684,0.001388134,0.001390665,0.001117778,0.001093391,0.001093454,0.00109402,0.001094189,0.001094142,0.0010937,0.001093815,0.001093746,0.001093396,0.001245315,0.001390627,0.001389422,0.001389123,0.001389673,0.001390613,0.001391343,0.001391958
abroad-together,2050,Electricity-supply|Coal,5.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Electricity-supply|Flexibility-out,1.245866713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26472332,0,2.06E-05,0,0,0,0,0,0,0,0,0,5.87E-07,0,0,0,0,0,0,0,0,0,0,0.000685905,0,0,0,0,0,0,0
abroad-together,2050,Electricity-supply|Gas,0.016247786,0.000523709,0.000515968,0.000518891,0.000522738,0.000572042,0.000590889,0.000590808,0.000636479,0.000548665,0.000549859,0.000550217,0.000550413,0.000550483,0.000550288,0.000549389,0.000707715,0.002895291,0.002957283,0.002960902,0.002962314,0.000651653,0.000598077,0.000547028,0.000549852,0.000391086,0.000391074,0.000390993,0.000390691,0.000390241,0.000389935,0.00036456,0.000360082,0.000359582,0.000359636,0.000359872,0.000359755,0.000359674,0.000359707,0.000360012,0.000360558,0.000378673,0.000390539,0.000390446,0.000390404,0.000390481,0.000390688,0.000390952,0.00039108
abroad-together,2050,Electricity-supply|Hydro Dams,22.12588819,9.12344492,9.120445375,9.124205509,9.125516622,9.127268701,9.1273837,9.127400544,9.127516873,3.919373663,2.199956499,1.912334903,1.781236826,1.731109983,1.826607371,3.577676072,9.127511747,9.127878552,9.127896245,9.127897604,9.127898018,9.127507429,9.126901298,6.989856718,1.828133754,5.734571432,5.659970518,5.459954458,5.169654249,3.562315219,0.406736736,0.000695646,0.000643795,0.000631113,0.000624761,0.000622277,0.000621674,0.000621718,0.000624263,0.000627913,0.000627397,0.001258293,2.671883259,5.914896664,5.853380803,6.181968516,6.13425215,5.836784844,5.55235339
abroad-together,2050,Electricity-supply|Hydro RoR,16.08094732,1.916131788,1.915570173,1.91504236,1.914375704,1.913741957,1.913142962,1.912631869,1.911973519,1.911459734,1.911129911,1.910824066,1.910482528,1.910203252,1.90996842,1.909609997,1.909277191,1.908835357,1.908193914,1.907571942,1.906848204,1.906097376,1.905188869,1.904280029,1.903412759,1.949152566,1.948657766,1.948122412,1.947577658,1.946954021,1.946276186,1.945713029,1.945307973,1.944915552,1.944513549,1.944165107,1.944120528,1.943686793,1.943493044,1.943434794,1.943458395,1.944651707,1.943736002,1.943009158,1.942447855,1.941035655,1.939831584,1.938784058,1.938240061
abroad-together,2050,Electricity-supply|Hydrogen,0.018739966,0.0047604,0.004759729,0.004760748,0.004761949,0.004769509,0.00477148,0.00477192,0.004772252,0.004759133,0.004759106,0.004759107,0.00475912,0.004759132,0.00475915,0.004759171,0.00477517,0.004817085,0.00482666,0.004827369,0.004827591,0.004775047,0.004766186,0.004759247,0.004759263,0.001309146,0.001308907,0.001308552,0.001308247,0.001310237,0.00132563,0.000663338,0.000626593,0.000614016,0.000608019,0.000605548,0.000605582,0.00060656,0.000609173,0.000614257,0.000620433,0.000888812,0.001298019,0.001297395,0.00129957,0.001301554,0.001302994,0.001304205,0.001304873
abroad-together,2050,Electricity-supply|Imports,59.24960907,0.719187717,0.812147452,0.032337055,0.014620948,0.0127787,0.005032227,0,0.586291145,6.661043148,7.819103746,7.820320058,7.820707445,7.820249303,7.819418226,6.718767682,9.973066538,0.586626397,0,3.89E-05,1.18579865,2.399653363,6.023702294,1.197071529,7.483877782,0.00155914,0.00157347,0.001605416,0.001601692,0.001415255,1.792161123,7.086080898,12.08301795,12.07979041,12.07890296,12.07850362,12.0785672,12.07868688,12.07852885,12.06367455,11.0259094,6.931658273,0.001286629,0.001098704,0.001117093,0.001148099,0.001138888,0.001154457,0.001158182
abroad-together,2050,Electricity-supply|New processes,6.20E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Electricity-supply|PHS-out,6.190344059,0.000341167,0.00033087,0.000675953,0.00087045,0.001296019,0.770674048,4.234621169,4.239141461,0.000365997,0.000385693,0.000388551,0.00038984,0.000388742,0.000386631,0.000365198,4.246053165,4.247596345,4.247618332,4.247619662,4.247620156,4.246022741,0.000362528,0.000359706,0.000360116,2.879101785,2.87120926,2.842758033,2.803822415,2.524943614,0.344820154,0.000559443,0.000514672,0.000501797,0.000495401,0.00049315,0.000492848,0.000493436,0.000496177,0.000500617,0.000503038,0.001016868,2.216932171,2.89961509,2.885152381,2.956487109,2.952100077,2.899214828,2.855114965
abroad-together,2050,Electricity-supply|Solar,14.19436339,0,0,0,0,0,0,0,0.626603224,1.464021815,2.156162794,2.645776344,2.777741736,2.599267871,2.105039307,1.333134827,0.457754488,0.000932714,3.37E-05,0,0,0,0,0,0,0,0,0,0,0.42513883,1.705684784,3.669373192,5.324991688,6.795856222,7.876622346,8.371547978,8.284589916,7.845249538,6.975677039,5.794819141,4.227998091,2.635714418,1.134800379,0.139344803,7.37E-05,0,0,0,0
abroad-together,2050,Electricity-supply|Waste,2.405280584,0.150730397,0.150729291,0.150729287,0.150729629,0.150732497,0.150732127,0.150731411,0.150736646,0.150735735,0.150736101,0.150736119,0.150736127,0.150736122,0.15073611,0.1507359,0.150744278,0.2931032,0.294072341,0.294093111,0.294100813,0.150739862,0.150737273,0.150735178,0.150735897,0.294394,0.294394097,0.294394219,0.294394579,0.294395508,0.294397126,0.293992863,0.293658089,0.293651831,0.293648929,0.293646512,0.293647383,0.293646446,0.293647661,0.293650046,0.293649212,0.294306908,0.294391597,0.294390505,0.294390848,0.294391228,0.294391707,0.294392203,0.294392591
abroad-together,2050,Electricity-supply|Wind,0.005815439,0.000165991,0.000171957,0.00017948,0.000181879,0.00018667,0.000186475,0.000187564,0.000185438,0.000182061,0.000190178,0.000194353,0.000188843,0.000194639,0.000207217,0.000220048,0.000226361,0.00027078,0.000245689,0.000190547,0.000155835,9.80E-05,8.27E-05,7.89E-05,8.65E-05,0.000216862,0.000228958,0.000235296,0.000224032,0.000204949,0.000188992,0.000235873,0.000287083,0.000289872,0.000271194,0.000257082,0.000266231,0.000307574,0.000381459,0.000465522,0.000516829,0.000572077,0.00052472,0.000473781,0.000441402,0.000400038,0.000338986,0.000246649,0.000189476
