scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 06:00,0.319472584
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 07:00,0.638039235
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 08:00,0.997133599
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 09:00,1.253373805
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 10:00,1.503005047
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 11:00,1.916350358
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 12:00,2.456201399
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 13:00,2.873447758
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 14:00,2.973466563
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 15:00,2.911903671
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 16:00,2.987866468
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 17:00,3.347061318
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 18:00,3.74965987
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 19:00,3.747453814
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 20:00,3.250463399
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 21:00,2.550419445
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 22:00,1.937579606
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 23:00,1.480313017
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 07:00,0.007233965
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 08:00,0.039654347
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 09:00,0.093106521
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 10:00,0.129682378
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 11:00,0.155539889
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 12:00,0.174855486
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 13:00,0.142435104
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 14:00,0.062433368
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 15:00,0.01138944
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 16:00,5.14e-05
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 17:00,0.000281906
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 18:00,0.000661902
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 19:00,0.001800848
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 20:00,0.004963845
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 21:00,0.007374611
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 22:00,0.00435337
abroad-alone,Empa,Electricity-consumption|DSM-in,GW,typical-day-summer,2050 23:00,0.000959893
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 00:00,0.324722014
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 01:00,0.324722014
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 02:00,0.324722014
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 03:00,0.324722014
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 04:00,0.425290082
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 05:00,0.876004892
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 06:00,1.624601491
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 07:00,2.237620432
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 08:00,2.995836976
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 09:00,4.037811603
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 10:00,4.637872986
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 11:00,4.674769186
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 12:00,4.625904997
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 13:00,4.916430304
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 14:00,5.158302435
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 15:00,4.690803727
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 16:00,4.074370938
abroad-alone,Empa,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 17:00,3.351441073
