scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 19:00,5.458893331
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 20:00,3.815145253
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 21:00,4.198100277
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 22:00,4.01604828
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 23:00,3.41429631
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 00:00,0.00016325
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 01:00,0.00067784
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 02:00,0.00073811
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 03:00,0.00069884
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 04:00,0.0102207
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 05:00,0.332494
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 07:00,0.0186335
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 08:00,0.242786
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 09:00,0.245027
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 10:00,0.66085
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 11:00,0.90241
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 12:00,1.260853
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 13:00,1.271338
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 14:00,0.769761
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 15:00,0.430633
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 16:00,0.379694
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 17:00,0.0966665
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 18:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 19:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 20:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 21:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 22:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,GW,typical-day-summer,2050 23:00,0.00132916
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 00:00,1.144623325
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 01:00,0.939653521
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 02:00,0.409865816
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 03:00,0.266749648
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 04:00,0.144650619
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 05:00,0.023849153
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 06:00,0.3428718
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 07:00,0.5447224
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 08:00,1.211937986
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 09:00,1.585946144
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 10:00,1.844947487
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 11:00,1.957947558
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 12:00,2.013947512
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 13:00,2.049947525
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 14:00,2.005947457
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 15:00,2.084946142
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 16:00,2.179928473
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 17:00,1.90565204
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 18:00,1.731082688
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 19:00,2.003079506
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 20:00,2.044833262
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 21:00,1.963376359
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 22:00,1.761552354
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 23:00,1.491943465
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 07:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 08:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 09:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 10:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 11:00,0.0
